condition,k,cut,endpoint,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,4,0.2,diagnostic_stable_multimode80,seed_person_t025,seed_equal,abs_error,46,15,-0.0020380434782608695,-0.006626352163461538,0.001997707201086945,-0.0039220328282828275
manual,4,0.2,diagnostic_stable_multimode80,seed_type4,seed_equal,abs_error,46,15,-0.00033967391304347825,-0.006389111467236467,0.005633624188311675,0.0025962752525252523
manual,4,0.2,diagnostic_stable_multimode80,selected_mixture,seed_equal,abs_error,46,15,0.014605978260869566,-0.06966004740712074,0.08440652195411388,-0.020028409090909093
manual,4,0.2,half_count_tv,seed_context_t025,seed_equal,abs_error,46,15,-0.0007392196420729018,-0.0022454765718729424,0.000320221059804393,-0.0007218013468013423
manual,4,0.2,half_count_tv,seed_person_t025,seed_equal,abs_error,46,15,-0.0012566219257795358,-0.002417182641109313,-9.744732803305237e-05,-0.0009465272995102537
manual,4,0.2,half_count_tv,seed_type4,seed_equal,abs_error,46,15,-0.0007126290074659633,-0.003050048063046347,0.0013654786261294146,0.0006481601048362421
manual,4,0.2,half_count_tv,selected_mixture,seed_equal,abs_error,46,15,-0.034187664690382084,-0.046434078337487424,-0.023129099759050704,-0.03722253309611265
manual,4,0.2,half_output_mmd,seed_context_t025,seed_equal,abs_error,46,15,0.001368619261212402,5.001833666974821e-06,0.0034204911763797328,0.0019746951342428194
manual,4,0.2,half_output_mmd,seed_person_t025,seed_equal,abs_error,46,15,0.002599770518807547,0.0012027259300071843,0.00438192469214827,0.0027059904460506948
manual,4,0.2,half_output_mmd,seed_type4,seed_equal,abs_error,46,15,0.002882725454042485,0.0013961302165751744,0.004599382761371533,0.0026859241144389727
manual,4,0.2,half_output_mmd,selected_mixture,seed_equal,abs_error,46,15,-0.014138784108209148,-0.01703391225649236,-0.010398993493522248,-0.012597147486423576
manual,4,0.2,invalid_generated,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,invalid_generated,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,invalid_generated,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,invalid_generated,selected_mixture,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_half_new,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_half_new,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_half_new,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_half_new,selected_mixture,seed_equal,abs_error,46,15,-0.019909008563899863,-0.026879472056520016,-0.01216860992739899,-0.020879761153198652
manual,4,0.2,late_quarter_new,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_quarter_new,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_quarter_new,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_quarter_new,selected_mixture,seed_equal,abs_error,46,15,-0.00276268115942029,-0.010089412011096463,0.005870645133053213,-0.003914930555555558
manual,4,0.2,late_repartition,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_repartition,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_repartition,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,late_repartition,selected_mixture,seed_equal,abs_error,46,15,0.0001161604292007,0.0,0.000427470379458576,0.00011874177207182667
manual,4,0.2,terminal_modes,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,terminal_modes,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,terminal_modes,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.2,terminal_modes,selected_mixture,seed_equal,abs_error,46,15,-0.8226902173913043,-0.9727450284090909,-0.6520974615102639,-0.8399621212121212
manual,4,0.2,terminal_point_disagreement,seed_context_t025,seed_equal,abs_error,46,15,0.00011532319729265072,-0.002475996903433685,0.002839854152914142,0.0008119600439394481
manual,4,0.2,terminal_point_disagreement,seed_person_t025,seed_equal,abs_error,46,15,0.00016933895520292175,-0.003854998263557828,0.004533210582127755,0.0018322906866794664
manual,4,0.2,terminal_point_disagreement,seed_type4,seed_equal,abs_error,46,15,0.0005781506493111617,-0.006014987416920033,0.008025519995310334,0.0041244551604199655
manual,4,0.2,terminal_point_disagreement,selected_mixture,seed_equal,abs_error,46,15,-0.048214095823242306,-0.07252266188930412,-0.027794277450357632,-0.06267163536514385
