analysis_kind,population_or_scenario,analysis_stratum,k_total,metric,estimate_task_equal,ci95_lower_building_bootstrap,ci95_upper_building_bootstrap,task_count,task_count_with_metric,building_count
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,4,resolved_only_quality,0.019504023279408856,-0.004902588541512154,0.03764259598816852,29,25,11
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,4,delivery_adjusted_quality,0.08628168075862068,0.007873471356815048,0.14229723422273813,29,29,11
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,4,pooled_full_output_recovery_rate,0.0,0.0,0.0,29,15,11
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,4,resolved_rate,0.09012775842044135,0.00037792894935752475,0.14022633398223022,41,41,11
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,4,supported_multimodal_rate,-0.01440185830429733,-0.05988095238095237,0.0277171130952381,41,41,11
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,4,resolved_only_quality,0.023896033584532232,0.001746254074131759,0.037460588082309294,41,36,11
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,4,delivery_adjusted_quality,0.09954195674020484,0.02108474664132104,0.1439337736076424,41,41,11
subgroup_contrast_exact,A_minus_C,pooled_reference_sensitivity_41,4,pooled_full_output_recovery_rate,-0.006613756613756615,-0.016233766233766236,0.0,41,18,11
subgroup_contrast_exact,A_minus_C,C1_primary_12,5,resolved_rate,0.1335978835978836,0.03174603174603175,0.2786596119929453,12,12,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,5,supported_multimodal_rate,-0.08531746031746032,-0.35449735449735453,0.08163265306122448,12,12,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,5,resolved_only_quality,0.021109027772336322,0.0049352122824263935,0.03082339692577073,12,8,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,5,delivery_adjusted_quality,0.13358513151971715,0.05614464714091005,0.2518394355349017,12,12,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,5,pooled_full_output_recovery_rate,-0.013227513227513218,-0.03968253968253965,0.0,12,3,5
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,5,resolved_rate,0.03571428571428571,-0.0688034188034188,0.1515151515151515,24,24,11
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,5,supported_multimodal_rate,-0.001984126984126986,-0.1180383022774327,0.08281907433380085,24,24,11
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,5,resolved_only_quality,0.031018903848484842,0.02108000038724652,0.04092256223132514,24,20,11
