image_id,building,condition,cut,scene,replay,rule,state,onset,tail_first_k,late_new_geometry,late_support_promotions,tail_max_TV
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,37,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,38,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,41,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,42,G10_geometry,current_changes,4.0,2,1,1,0.6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,44,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,45,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,49,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,50,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,53,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,56,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,57,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,60,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,61,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,62,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,67,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,68,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,70,G10_geometry,current_changes,4.0,2,0,2,0.266666666667
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,71,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,72,G10_geometry,current_changes,4.0,2,0,2,0.1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,73,G10_geometry,current_changes,4.0,2,1,1,0.6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,74,G10_geometry,current_changes,4.0,2,1,1,0.4
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,77,G10_geometry,current_changes,4.0,2,0,2,0.1
