metric,cohort,replicate,common_workers,rank_rho,coarse_ARI,label_agreement,split_A
60,all26,102,26,0.710769230769,0.260355029586,0.769230769231,S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;Z6MFQCViBuw;jh4fc5c5qoQ;pRbA3pwrgk9;q9vSo1VnCiC;rPc6DW4iMge;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ
60,all26,103,26,0.568547008547,0.260355029586,0.769230769231,B6ByNegPMKs;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;e9zR4mvMWw7;jtcxE69GiFV;q9vSo1VnCiC;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm
60,all26,104,26,0.727179487179,0.260355029586,0.769230769231,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;VLzqgDo317F;Z6MFQCViBuw;e9zR4mvMWw7;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;uNb9QFRL6hY;x8F5xyUWy9e
60,all26,105,25,0.852307692308,0.692841880342,0.92,7y3sRwLe3Va;S9hNv5qa7GM;VFuaQ6m2Qom;Z6MFQCViBuw;e9zR4mvMWw7;jh4fc5c5qoQ;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm
60,all26,106,26,0.871452991453,0.260355029586,0.769230769231,2t7WUuJeko7;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;jh4fc5c5qoQ;jtcxE69GiFV;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;zsNo4HB9uLZ
60,all26,107,26,0.822905982906,0.704142011834,0.923076923077,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;jh4fc5c5qoQ;uNb9QFRL6hY;wc2JMjhGNzB;zsNo4HB9uLZ
60,all26,108,26,0.793504273504,0.260355029586,0.769230769231,S9hNv5qa7GM;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;zsNo4HB9uLZ
60,all26,109,26,0.806495726496,0.260355029586,0.769230769231,B6ByNegPMKs;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;jtcxE69GiFV;pRbA3pwrgk9;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e
60,all26,110,26,0.821538461538,0.704142011834,0.923076923077,2t7WUuJeko7;S9hNv5qa7GM;UwV83HsGsw3;Z6MFQCViBuw;b8cTxDM8gDG;jh4fc5c5qoQ;pRbA3pwrgk9;q9vSo1VnCiC;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm
60,all26,111,26,0.887179487179,0.457593688363,0.846153846154,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;X7HyMhZNoso;b8cTxDM8gDG;jh4fc5c5qoQ;pRbA3pwrgk9;pa4otMbVnkk;rPc6DW4iMge;uNb9QFRL6hY;zsNo4HB9uLZ
60,all26,112,26,0.766153846154,0.457593688363,0.846153846154,7y3sRwLe3Va;UwV83HsGsw3;VFuaQ6m2Qom;Z6MFQCViBuw;jh4fc5c5qoQ;pRbA3pwrgk9;pa4otMbVnkk;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;zsNo4HB9uLZ
60,all26,113,25,0.717692307692,0.0918803418803,0.68,2t7WUuJeko7;B6ByNegPMKs;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;X7HyMhZNoso;Z6MFQCViBuw;jtcxE69GiFV;rPc6DW4iMge;uNb9QFRL6hY;yqstnuAEVhm
60,all26,114,26,0.675897435897,0.260355029586,0.769230769231,B6ByNegPMKs;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;X7HyMhZNoso;jtcxE69GiFV;pa4otMbVnkk;uNb9QFRL6hY;wc2JMjhGNzB;yqstnuAEVhm
