condition,k,cut,method,metric,images,real_stability,predicted_stability,brier,declaration_rate,false_declaration_rate,false_fraction_among_declarations
oos_geometry,8,0.1,seed_context_t025,diagnostic_stable_multimode80,9,0.05555555555555555,0.828125,0.6564127604166666,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,8,0.1,seed_equal,diagnostic_stable100,9,0.0,0.5260416666666666,0.31103515625,0.05555555555555555,0.05555555555555555,1.0
oos_geometry,8,0.1,seed_equal,diagnostic_stable80,9,0.05555555555555555,0.8159722222222222,0.638671875,0.6666666666666666,0.6111111111111112,0.9166666666666666
oos_geometry,8,0.1,seed_equal,diagnostic_stable_multimode80,9,0.05555555555555555,0.8159722222222222,0.638671875,0.6666666666666666,0.6111111111111112,0.9166666666666666
oos_geometry,8,0.1,seed_person_t025,diagnostic_stable100,9,0.0,0.5034722222222222,0.2854817708333333,0.1111111111111111,0.1111111111111111,1.0
oos_geometry,8,0.1,seed_person_t025,diagnostic_stable80,9,0.05555555555555555,0.8263888888888888,0.6510416666666666,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,8,0.1,seed_person_t025,diagnostic_stable_multimode80,9,0.05555555555555555,0.8263888888888888,0.6510416666666666,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,8,0.1,seed_type4,diagnostic_stable100,9,0.0,0.4618055555555556,0.2521701388888889,0.05555555555555555,0.05555555555555555,1.0
oos_geometry,8,0.1,seed_type4,diagnostic_stable80,9,0.05555555555555555,0.8246527777777778,0.65576171875,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,8,0.1,seed_type4,diagnostic_stable_multimode80,9,0.05555555555555555,0.8246527777777778,0.65576171875,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,8,0.1,selected_mixture,diagnostic_stable100,9,0.0,0.3368055555555556,0.15928819444444445,0.0,0.0,
oos_geometry,8,0.1,selected_mixture,diagnostic_stable80,9,0.05555555555555555,0.6857638888888888,0.4618598090277778,0.2777777777777778,0.2222222222222222,0.8
oos_geometry,8,0.1,selected_mixture,diagnostic_stable_multimode80,9,0.05555555555555555,0.6857638888888888,0.4618598090277778,0.2777777777777778,0.2222222222222222,0.8
oos_geometry,8,0.2,seed_context_t025,diagnostic_stable100,9,0.0,0.609375,0.4271375868055556,0.2222222222222222,0.2222222222222222,1.0
oos_geometry,8,0.2,seed_context_t025,diagnostic_stable80,9,0.1111111111111111,0.828125,0.6321072048611112,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,8,0.2,seed_context_t025,diagnostic_stable_multimode80,9,0.1111111111111111,0.8246527777777778,0.6255967881944444,0.6111111111111112,0.5555555555555556,0.9090909090909091
oos_geometry,8,0.2,seed_equal,diagnostic_stable100,9,0.0,0.6041666666666666,0.4240451388888889,0.2222222222222222,0.2222222222222222,1.0
oos_geometry,8,0.2,seed_equal,diagnostic_stable80,9,0.1111111111111111,0.8159722222222222,0.6143663194444444,0.6666666666666666,0.5555555555555556,0.8333333333333334
