image_id,condition,code,id_a,id_b,worker_a,worker_b,n_a,n_b,legacy,stable,delta,local_max_stable,cardinality_floor
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,9c964b13299f32cb,W008,W031,8,8,0.7464450343229363,0.7464450343228324,-1.0391687510491465e-13,1.1653870815409153,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,6a317a400188cb9b,W008,W032,8,8,0.6916241225758049,0.6916241225759359,1.3100631690576847e-13,1.1342436133481173,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,5f9c3715d22ae336,W008,W033,8,8,0.96372604616761,0.9637260461678075,1.9750867608081535e-13,1.643252603598989,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,2c487c4855775399,W008,W034,8,8,1.2986967061173291,1.2986967061174637,1.3455903058456897e-13,2.3921897784208173,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,f25bd8df99652c2b,W008,W035,8,8,1.544054178982038,1.5440541789820754,3.752553823233029e-14,2.2432149116002558,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,4bfc0d70b116500c,W008,W036,8,8,1.0189655481354722,1.0189655481356812,2.0894397323445446e-13,2.4295968481754118,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,13d54802362fd649,922f49b7c63582f6,W008,W037,8,8,1.5793312028565352,1.5793312028567157,1.8052226380405045e-13,3.0473468614956327,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,84b0461c974c6f08,b36f0dc2bb36d9b6,W010,W011,8,8,1.1536607235150806,1.153660723514732,-3.4861002973229915e-13,2.05844808638405,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,84b0461c974c6f08,e43b14b1a0c01b0f,W010,W012,8,8,1.7857012848380196,1.7857012848380711,5.1514348342607263e-14,3.448624033145745,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,84b0461c974c6f08,a73527487e1ba30e,W010,W013,8,8,1.027760151333638,1.0277601513338126,1.745270594710746e-13,2.4275901702358613,0.0
