analysis_role,outer_fold,building_id,base_task_id,condition,method,selected_worker_id,status,public_gt_quality,delivery_adjusted_quality,structurally_valid,corner_count,a0_reconstruction_match,severe_geometric_error_status,topology_error_status,training_buildings_excluded_test_building,inner_tuning,gt_used_for_selection
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,A_oracle_evaluator_only,,not_evaluable_reference,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,True
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,A0_current_largest_cluster_medoid,28,estimated,0.8462045667304327,0.8462045667304327,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,A1_global_medoid_over_all_legal_submissions,,not_evaluable_reference,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,A2_cross_fitted_worker_quality_weighted_medoid,,not_evaluable_reference,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,A3_cluster_support_plus_worker_quality_selector,28,estimated,0.8462045667304327,0.8462045667304327,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,A4_image_evidence_weighted_cluster_selector,,source_absent_no_frozen_preoutcome_image_evidence,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,A5_topology_preserving_variable_corner_selector,34,estimated,0.7163200209434183,0.7163200209434183,True,5,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,A_oracle_evaluator_only,35,evaluator_only,0.8614699295706079,0.8614699295706079,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,True
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,A0_current_largest_cluster_medoid,37,estimated,0.9125201918328744,0.9125201918328744,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,A1_global_medoid_over_all_legal_submissions,37,estimated,0.9125201918328744,0.9125201918328744,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,A2_cross_fitted_worker_quality_weighted_medoid,37,estimated,0.9125201918328744,0.9125201918328744,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,A3_cluster_support_plus_worker_quality_selector,8,estimated,1.0,1.0,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,A4_image_evidence_weighted_cluster_selector,,source_absent_no_frozen_preoutcome_image_evidence,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,A5_topology_preserving_variable_corner_selector,8,estimated,1.0,1.0,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,A_oracle_evaluator_only,,not_evaluable_reference,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,True
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,A0_current_largest_cluster_medoid,2,estimated,0.9596907408557411,0.9596907408557411,True,10,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
