cohort,model,groups,support,attempts,available,no_singletons,all_groups_represented,shared_workers_median,ari_median
all26,TS,7,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,8,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.2773067331670823
all26,TS,8,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,9,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.25307197191339964
all26,TS,9,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,10,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.2611540749553837
all26,TS,10,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,11,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.23773751657092357
all26,TS,11,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TS,12,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.21396731054977713
all26,TS,12,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,2,diagnostic_3rows_2buildings,100,69,69,69,24.0,0.30524642289348164
all26,TSB,2,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,3,diagnostic_3rows_2buildings,100,69,69,69,24.0,0.2823469560793624
all26,TSB,3,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,4,diagnostic_3rows_2buildings,100,69,60,69,24.0,0.2859701492537313
all26,TSB,4,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,5,diagnostic_3rows_2buildings,100,69,37,69,24.0,0.3330215154349859
all26,TSB,5,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,6,diagnostic_3rows_2buildings,100,69,15,69,24.0,0.3009118541033435
all26,TSB,6,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,7,diagnostic_3rows_2buildings,100,69,1,69,24.0,0.26991555600773226
all26,TSB,7,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,8,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.27266338721011946
all26,TSB,8,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,9,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.2655763239875389
all26,TSB,9,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,10,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.25990099009900985
all26,TSB,10,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,11,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.23596792668957614
all26,TSB,11,primary_6rows_3buildings,100,0,0,0,0.0,
all26,TSB,12,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.22755651237890206
all26,TSB,12,primary_6rows_3buildings,100,0,0,0,0.0,
current20,B,2,diagnostic_3rows_2buildings,100,100,99,100,20.0,-0.045794804051078816
current20,B,2,primary_6rows_3buildings,100,90,84,86,20.0,-0.045794804051078816
current20,B,3,diagnostic_3rows_2buildings,100,100,75,100,20.0,0.49319027264468984
current20,B,3,primary_6rows_3buildings,100,90,60,80,20.0,0.4209305261342923
