cohort,model,groups,group,support,attempts,available,both_at_least_2,jaccard_median,chance_jaccard_median,adjusted_jaccard_median
all26,Q,8,4,primary_6rows_3buildings,100,100,99,0.14285714285714285,0.10745906267645398,0.05394219159978122
all26,Q,8,5,diagnostic_3rows_2buildings,100,100,98,0.2222222222222222,0.12185375494071146,0.09712183207585157
all26,Q,8,5,primary_6rows_3buildings,100,100,100,0.2,0.12185375494071146,0.07909167999283262
all26,Q,8,6,diagnostic_3rows_2buildings,100,100,80,0.14285714285714285,0.07095238095238095,0.06309265290621366
all26,Q,8,6,primary_6rows_3buildings,100,100,80,0.125,0.07221837944664031,0.03260141805009529
all26,Q,8,7,diagnostic_3rows_2buildings,100,100,18,0.5,0.04,0.4791666666666667
all26,Q,8,7,primary_6rows_3buildings,100,100,27,0.5,0.04,0.4791666666666667
all26,Q,8,8,diagnostic_3rows_2buildings,100,100,0,1.0,0.04,1.0
all26,Q,8,8,primary_6rows_3buildings,100,100,0,1.0,0.04,1.0
all26,Q,9,1,diagnostic_3rows_2buildings,100,100,2,0.5,0.04,0.4791666666666667
all26,Q,9,1,primary_6rows_3buildings,100,100,2,0.5,0.04,0.4791666666666667
all26,Q,9,2,diagnostic_3rows_2buildings,100,100,20,0.2,0.04,0.1434689507494647
all26,Q,9,2,primary_6rows_3buildings,100,100,20,0.2,0.04,0.1434689507494647
all26,Q,9,3,diagnostic_3rows_2buildings,100,100,66,0.14285714285714285,0.06166666666666667,0.05042149275242648
all26,Q,9,3,primary_6rows_3buildings,100,100,63,0.07142857142857142,0.06166666666666667,0.004377413042879905
all26,Q,9,4,diagnostic_3rows_2buildings,100,100,95,0.125,0.09060041407867495,0.03649263225575536
all26,Q,9,4,primary_6rows_3buildings,100,100,95,0.125,0.09060041407867495,0.04038384646141543
all26,Q,9,5,diagnostic_3rows_2buildings,100,100,99,0.14285714285714285,0.09734387351778656,0.057033332016020816
all26,Q,9,5,primary_6rows_3buildings,100,100,99,0.14285714285714285,0.09734387351778656,0.05660377358490567
all26,Q,9,6,diagnostic_3rows_2buildings,100,100,96,0.14285714285714285,0.09551242236024844,0.05042149275242648
all26,Q,9,6,primary_6rows_3buildings,100,100,99,0.15476190476190477,0.09734387351778656,0.057462890447135956
all26,Q,9,7,diagnostic_3rows_2buildings,100,100,62,0.0,0.06166666666666667,-0.04166666666666667
all26,Q,9,7,primary_6rows_3buildings,100,100,63,0.0,0.06166666666666667,-0.04166666666666667
all26,Q,9,8,diagnostic_3rows_2buildings,100,100,8,0.5,0.04,0.4791666666666667
all26,Q,9,8,primary_6rows_3buildings,100,100,12,0.5,0.04,0.4791666666666667
all26,Q,9,9,diagnostic_3rows_2buildings,100,100,0,1.0,0.04,1.0
all26,Q,9,9,primary_6rows_3buildings,100,100,0,1.0,0.04,1.0
all26,Q,10,1,diagnostic_3rows_2buildings,100,100,1,0.75,0.04,0.7395833333333334
all26,Q,10,1,primary_6rows_3buildings,100,100,1,0.75,0.04,0.7395833333333334
all26,Q,10,2,diagnostic_3rows_2buildings,100,100,10,0.225,0.04,0.17208971516158847
all26,Q,10,2,primary_6rows_3buildings,100,100,10,0.225,0.04,0.17208971516158847
all26,Q,10,3,diagnostic_3rows_2buildings,100,100,50,0.0,0.04722222222222222,-0.04166666666666667
all26,Q,10,3,primary_6rows_3buildings,100,100,48,0.0,0.043478260869565216,-0.04166666666666667
