condition,metric,partition,nominal_cut,k,images,buildings,next_uncovered,fixed_expected_clusters,fixed_unseen_pool_mass,minority_unseen_mass
oos,image,complete,9,10,9,6,0.39486268064306823,6.4810496720242314,0.24853019414844185,0.078686863382830624
oos,image,complete,9,11,9,6,0.3804496876495127,6.9124043146371186,0.22036992602962466,0.06449892146174438
oos,image,complete,9,12,9,6,0.36759571778585109,7.3251906407108986,0.19476518553230995,0.052176163471059502
oos,image,complete,9,13,9,6,0.35602752877958155,7.7214000207252997,0.17131501060261256,0.041549144337424106
oos,image,complete,9,14,9,6,0.3455309099731857,8.1026961634109309,0.14970083999853862,0.032460633429442505
oos,image,complete,9,15,9,6,0.33593455758282786,8.4704808494601878,0.12966566265536553,0.02476561455767505
oos,image,complete,9,16,9,6,0.32709927887049078,8.825940565070999,0.11100046608536643,0.01833128597463821
oos,image,complete,9,17,9,6,0.31891056509668259,9.1700816875302014,0.093534799373045152,0.013037060374804545
oos,image,complete,9,18,9,6,0.31127329742890386,9.5037585729805407,0.077129656129879987,0.0087745648946027013
oos,image,complete,12,1,9,6,0.70955936173327483,0.99999999999999978,0.74685085999673262,0.27424538787369601
oos,image,complete,12,2,9,6,0.60075653010435615,1.7799004538134975,0.61827123100358761,0.24085689917447953
oos,image,complete,12,3,9,6,0.53490285881590227,2.4554159608507438,0.52632214609412153,0.21059901949552232
oos,image,complete,12,4,9,6,0.49078479576191253,3.0583955496998971,0.45501324039446278,0.18325548899745495
oos,image,complete,12,5,9,6,0.45871485917252502,3.6062967035507083,0.39804243278710993,0.15861964057261788
oos,image,complete,12,6,9,6,0.43372812569541602,4.1113915112770947,0.3512903411576429,0.13649439984506148
