condition,target,design,method,baseline,n,groups,delta,lo,hi,group_macro
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block6__faces_global,source_frequency,37,10,0.0708108108108,-0.0439130434783,0.16972972973,0.0472571428571
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block6__faces_local16,source_frequency,37,10,0.00405405405405,-0.0803448275862,0.0759090909091,-0.00214285714286
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block6__faces_local96,source_frequency,37,10,0.00891891891892,-0.0544444444444,0.0936842105263,0.0107714285714
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block6__panorama_global,source_frequency,37,10,0.10027027027,-0.00527443609023,0.182834433962,0.0638571428571
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block6__panorama_local16,source_frequency,37,10,0.0362162162162,-0.01125,0.0732544642857,0.0238857142857
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block6__panorama_mean,source_frequency,37,10,0.0683783783784,-0.0455172413793,0.151333333333,0.0426571428571
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block9__faces_concat,source_frequency,37,10,0.0645945945946,-0.0124137931034,0.140714285714,0.0376857142857
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block9__faces_global,source_frequency,37,10,0.0643243243243,-0.0124107730263,0.13023255814,0.0429142857143
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block9__faces_local16,source_frequency,37,10,0.00648648648649,-0.0723076923077,0.095625,0.00697142857143
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block9__faces_local96,source_frequency,37,10,-0.00162162162162,-0.0495982642777,0.048,0.00297142857143
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block9__panorama_global,source_frequency,37,10,0.0559459459459,-0.0186842105263,0.115780072464,0.0339142857143
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block9__panorama_local16,source_frequency,37,10,0.0451351351351,0.011724137931,0.0754440199336,0.0309428571429
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block9__panorama_mean,source_frequency,37,10,0.0372972972973,-0.028125,0.0869230769231,0.0223428571429
manual,cdf_observed_by19,same_building_diagnostic,dinov3__cls__faces,source_frequency,37,10,0.0408108108108,-0.0538636363636,0.118235294118,0.0236857142857
manual,cdf_observed_by19,same_building_diagnostic,dinov3__cls__panorama,source_frequency,37,10,0.0156756756757,-0.0475053571429,0.0808176574978,0.00508571428571
manual,cdf_observed_by19,same_building_diagnostic,feedback_counts_nearest,source_frequency,37,10,-0.00918918918919,-0.115625,0.0753191489362,-0.0121714285714
manual,cdf_observed_by19,same_building_diagnostic,source_frequency_smooth,source_frequency,37,10,0,0,0,0
manual,cdf_observed_by19,same_building_diagnostic,source_random_expectation,source_frequency,37,10,0.0310810810811,-0.00545454545455,0.0697142857143,0.0239142857143
