image_id,building,condition,kind,n,k,half_TV,half_within_geometry,half_future_coverage,late_new_geometry,late_support_promotions,full_within_geometry
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,different_point_only_multimodal,19,10,0.188,0.045861225947,0.647777777778,0.101111111111,0.177777777778,0.0525850640742
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,manual,not_supported_multimodal,5,3,0.32,0.0794784990697,0,0.65,0.35,0.0794784990697
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,VLzqgDo317F,manual,not_supported_multimodal,2,2,0,0.000921623958422,,,,0.000921623958422
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,semi,different_point_only_multimodal,24,12,0.1175,0.0157147313346,0.801666666667,0.134166666667,0.0641666666667,0.0343876255339
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,manual,same_point_only_multimodal,5,3,0.26,0.0597278784953,0.49,0.205,0.58,0.0822094312721
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,same_point_only_multimodal,24,12,0.0691666666667,0.0377552255363,1,0,0.0841666666667,0.034037773799
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,manual,not_supported_multimodal,5,3,0.238666666667,0.0472185326682,0.29,0.37,0.17,0.0597743087537
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,semi,not_supported_multimodal,4,2,0.25,0.0589085368911,0.275,0.275,0.225,0.0696778568214
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,manual,not_supported_multimodal,5,3,0.155333333333,0.0575937474729,0.87,0.02,0,0.0575182402261
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,semi,not_supported_multimodal,4,2,0,0.000657436577682,1,0,0,0.000842867407285
