image_id,building,condition,cut,scene,n_valid,n_modes,n_supported_modes,supported_mass,singleton_mass,largest_share,topology_disagreement,same_topology_between_mode_pair_fraction,within_mode_mean_d,between_mode_same_topology_mean_d,within_mode_median_d,within_mode_max_median_d,within_mode_macro_median_d,same_topology_median_d,mode_entropy,topology_entropy,supported_topologies,supported_minority_modes,same_topology_multimodality,n_observed,n_invalid,stages,contexts,imputed_responses,late_new,late_promotions,later_repartition,n_singletons,naive_many_modes,scene_category,main_function_primary
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,manual,0.2,通行与连接,5,3,1,0.6,0.4,0.6,0.7,0,0.0842045325516,,0.0812562313061,0.0812562313061,0.0812562313061,0.0812562313061,1.37095059445,1.37095059445,1,0,False,5,0,C1,1,0,0.456666666667,0.21,0,2,False,通行与连接,circulation
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.05,通行与连接,6,4,1,0.5,0.5,0.5,0,0.8,0.00485499621569,0.294265344375,0.00728249432353,0.00728249432353,0.00728249432353,0.262841002007,1.79248125036,-0,1,0,False,6,0,C1,1,0,0.53,0.153333333333,0,3,False,通行与连接,circulation
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.1,通行与连接,6,4,1,0.5,0.5,0.5,0,0.8,0.00485499621569,0.294265344375,0.00728249432353,0.00728249432353,0.00728249432353,0.262841002007,1.79248125036,-0,1,0,False,6,0,C1,1,0,0.563333333333,0.136666666667,0,3,False,通行与连接,circulation
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,manual,0.2,通行与连接,6,3,1,0.666666666667,0.333333333333,0.666666666667,0,0.6,0.086911360339,0.336031217679,0.0877027922215,0.0877027922215,0.0877027922215,0.262841002007,1.25162916739,-0,1,0,False,6,0,C1,1,0,0.343333333333,0.0633333333333,0,2,False,通行与连接,circulation
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.05,工作与学习,5,4,1,0.4,0.6,0.4,0,0.9,0,0.153125617944,0,0,0,0.171176560432,1.92192809489,-0,1,0,False,5,0,C1,1,0,0.706666666667,0.293333333333,0,3,False,工作与学习,empty
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.1,工作与学习,5,2,2,1,0,0.6,0,0.6,0.0492805853829,0.196834703328,0.06549650016,0.0661293412115,0.06549650016,0.171176560432,0.970950594455,-0,1,0,True,5,0,C1,1,0,0.146666666667,0.52,0,0,False,工作与学习,empty
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,manual,0.2,工作与学习,5,2,2,1,0,0.6,0,0.6,0.0492805853829,0.196834703328,0.06549650016,0.0661293412115,0.06549650016,0.171176560432,0.970950594455,-0,1,0,True,5,0,C1,1,0,0.0433333333333,0.443333333333,0.0961111111111,0,False,工作与学习,empty
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.05,卫浴,19,13,4,0.526315789474,0.473684210526,0.210526315789,0.105263157895,0.941176470588,0.0309846423142,0.130991096763,0.028608285382,0.0487663134691,0.0328765745608,0.108076976833,3.51108540818,0.297472248919,1,3,True,20,1,C2-B,1,0,0.469,0.26,0.00319183888007,9,True,卫浴,bathroom
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.1,卫浴,19,8,3,0.736842105263,0.263157894737,0.421052631579,0.105263157895,0.771241830065,0.0538127251618,0.146255375712,0.0527956265025,0.097113490016,0.0691213079614,0.108076976833,2.45845382923,0.297472248919,1,1,True,20,1,C2-B,1,0,0.18,0.21,0.0282131907308,5,True,卫浴,bathroom
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,0.2,卫浴,19,3,2,0.947368421053,0.0526315789474,0.789473684211,0.105263157895,0.294117647059,0.0891694332063,0.21136179841,0.0840710910265,0.160294462383,0.121921144573,0.108076976833,0.913282964165,0.297472248919,1,1,True,20,1,C2-B,1,0,0.057,0.053,0.0107834475982,1,False,卫浴,bathroom
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,manual,0.05,卫浴,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-A-RP,1,0,0,0,0,1,False,卫浴,bathroom
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,manual,0.1,卫浴,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-A-RP,1,0,0,0,0,1,False,卫浴,bathroom
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,manual,0.2,卫浴,1,1,0,0,1,1,,,,,,,,,-0,-0,0,0,False,1,0,C2-A-RP,1,0,0,0,0,1,False,卫浴,bathroom
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,manual,0.05,卫浴,2,2,0,0,1,0.5,1,,,,,,,,1,1,0,0,False,2,0,C2-B,1,0,1,0,0,2,False,卫浴,bathroom
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,manual,0.1,卫浴,2,2,0,0,1,0.5,1,,,,,,,,1,1,0,0,False,2,0,C2-B,1,0,1,0,0,2,False,卫浴,bathroom
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,manual,0.2,卫浴,2,2,0,0,1,0.5,1,,,,,,,,1,1,0,0,False,2,0,C2-B,1,0,1,0,0,2,False,卫浴,bathroom
