condition,target,design,method,subset,images,buildings,components,image_loss,building_macro_loss,accuracy
manual,late_quarter_new,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,31,0.269635338346,0.237382819727,
manual,late_quarter_new,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,31,0.256334586466,0.237647166028,
manual,late_quarter_new,same_mainspace_other_building,source_frequency_or_median,all_available,133,20,31,0.20703320802,0.212891569195,
manual,late_quarter_new,same_mainspace_other_building,uniform_random_source_expectation,all_available,133,20,31,0.271566748477,0.278020522335,
manual,late_quarter_new,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,31,0.289353174603,0.273996128141,
manual,late_quarter_new,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,31,0.289854497354,0.277413480282,
manual,late_quarter_new,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,31,0.273826719577,0.260746915633,
manual,late_quarter_new,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,31,0.261718253968,0.241246407954,
manual,late_quarter_new,same_scene_other_building,source_frequency_or_median,all_available,126,19,31,0.217090608466,0.205745992251,
manual,late_quarter_new,same_scene_other_building,uniform_random_source_expectation,all_available,126,19,31,0.274580174192,0.266737608251,
manual,late_quarter_new,supported_same_room,dinov3__block12__faces_global,all_available,24,7,10,0.316458333333,0.353746031746,
manual,late_quarter_new,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,10,0.298611111111,0.341507936508,
manual,late_quarter_new,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,10,0.319618055556,0.355551587302,
manual,late_quarter_new,supported_same_room,dinov3__cls__panorama,all_available,24,7,10,0.309548611111,0.347757936508,
manual,late_quarter_new,supported_same_room,source_frequency_or_median,all_available,24,7,10,0.264618055556,0.306130952381,
manual,late_quarter_new,supported_same_room,uniform_random_source_expectation,all_available,24,7,10,0.286550925926,0.326715608466,
manual,singleton_share,all_other_building,dinov3__block12__faces_global,all_available,187,22,47,0.445689888944,0.417736949531,
manual,singleton_share,all_other_building,dinov3__block12__panorama_mean,all_available,187,22,47,0.393062806188,0.357893243523,
manual,singleton_share,all_other_building,dinov3__block3__panorama_mean,all_available,187,22,47,0.458152014328,0.426396051891,
manual,singleton_share,all_other_building,dinov3__cls__panorama,all_available,187,22,47,0.366576040935,0.37764005863,
manual,singleton_share,all_other_building,source_frequency_or_median,all_available,187,22,47,0.309405580225,0.289476512484,
manual,singleton_share,all_other_building,uniform_random_source_expectation,all_available,187,22,47,0.414082756723,0.406870320573,
manual,singleton_share,same_building_diagnostic,dinov3__block12__faces_global,all_available,186,21,47,0.364832016609,0.370053066278,
manual,singleton_share,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,186,21,47,0.371499320787,0.364985526512,
manual,singleton_share,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,186,21,47,0.35352795585,0.339280647,
manual,singleton_share,same_building_diagnostic,dinov3__cls__panorama,all_available,186,21,47,0.378978547616,0.363932668821,
manual,singleton_share,same_building_diagnostic,source_frequency_or_median,all_available,186,21,47,0.271752777408,0.274737194938,
manual,singleton_share,same_building_diagnostic,uniform_random_source_expectation,all_available,186,21,47,0.35483779818,0.348217009425,
manual,singleton_share,same_mainspace_other_building,dinov3__block12__faces_global,all_available,187,22,47,0.449539870793,0.4484847873,
manual,singleton_share,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,187,22,47,0.405714188771,0.384403942808,
manual,singleton_share,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,187,22,47,0.420064923675,0.38317395146,
manual,singleton_share,same_mainspace_other_building,dinov3__cls__panorama,all_available,187,22,47,0.357239065038,0.344685859297,
manual,singleton_share,same_mainspace_other_building,source_frequency_or_median,all_available,187,22,47,0.317032070596,0.304993966008,
manual,singleton_share,same_mainspace_other_building,uniform_random_source_expectation,all_available,187,22,47,0.411223022378,0.403627184372,
manual,singleton_share,same_scene_other_building,dinov3__block12__faces_global,all_available,180,22,47,0.463673705839,0.465336826201,
manual,singleton_share,same_scene_other_building,dinov3__block12__panorama_mean,all_available,180,22,47,0.421346293655,0.410633739423,
manual,singleton_share,same_scene_other_building,dinov3__block3__panorama_mean,all_available,180,22,47,0.436240644155,0.39147552656,
manual,singleton_share,same_scene_other_building,dinov3__cls__panorama,all_available,180,22,47,0.367501196998,0.355847845003,
manual,singleton_share,same_scene_other_building,source_frequency_or_median,all_available,180,22,47,0.315945869697,0.306157602356,
manual,singleton_share,same_scene_other_building,uniform_random_source_expectation,all_available,180,22,47,0.424041274615,0.418034506064,
